Demands_SNCP
month	 NPD		CVPS		WR	   SWPWR1_STHRM		SWPWR2_STHRM		RF
4	   0.00		 0.00		 2.49	   0.00			0.00			  0.00
5	   0.12		 0.12		 2.62	   0.00			0.00			  0.26
6	   6.45		 2.72		 2.62	   0.04			0.17			  5.78
7	 125.78		27.61		 2.49	   1.49			6.24			129.48
8	 161.91		38.68		 3.83	   1.92			8.05			166.08
9	 196.57		51.23		 4.93	   2.19			9.16			197.86
10	 201.24		55.73		 4.17	   2.19			9.14			199.96
11	 159.79		43.57		 9.00	   1.72			7.18			163.72
12	  94.01		21.06		13.37	   1.20			5.03			 87.97
1	  24.98		 6.98		11.90	   0.24			0.99			 19.28
2	   1.72		 0.57		 6.85	   0.01			0.03			  1.10
3	   0.00		 0.00		 4.50	   0.00			0.00			  0.00
