Demands_NNCP
month	NPD		CVPS		CVPC_AG		CVPC_MI		WR		RF
4	  0.00		  0.00		 0.00		0.00		 4.68		 0.00
5	  0.65		  1.59		 0.17		0.00		 3.79		 0.29
6	  8.64		 14.99		 2.61		0.10		 1.26		 4.10
7	115.93		254.71		45.90		0.96		 1.36		43.22
8	162.10		335.01		62.15		1.74		 4.68		64.70
9	194.00		408.24		74.50		2.33		 7.01		79.03
10	207.12		418.93		78.01		2.87		 9.80		88.18
11	176.33		364.70		67.44		2.50		13.27		74.58
12	 79.13		148.24		30.49		1.69		16.80		36.81
1	 14.54		 22.13		 5.73		0.47		20.33		 7.65
2	  0.81		  1.31		 0.36		0.04		16.08		 0.51
3	  0.00		  0.00		 0.00		0.00		 9.60		 0.00
