! Pumping limits in cfs                                             33
StanGWPUMP
month   min530pag   min530prv   max530pag   min522pag   min522prv   max522pag
1       8           16          33          8           49          9999
2       0           0           0           0           0           0
3       0           0           0           0           0           0
4       0           0           0           0           0           0
5       0           0           0           0           0           0
6       8           16          16          8           49          9999
7       15          17          42          15          67          9999
8       24          16          98          24          98          9999
9       32          34          101         32          118         9999
10      34          33          114         34          114         9999
11      29          16          114         29          98          9999
12      13          17          34          13          84          9999
