! New Baselines version (Feb 2010)
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_022510.xls
swp_carryover
contractor       percent          carryover
                1              100            40.31
                2              100             4.00
                3              100            70.70
                4              100             0.00
                5              100             4.80
                6              100            60.55
                7              100             0.00
                8              100             0.00
                9              100             2.90
               10              100            25.00
               11              100             2.50
               12              100             0.00
               13              100            48.32
               14              100             0.00
               15              100           200.00
               16              100            37.90
               17              100            11.60
               18              100             0.40
               19              100             7.08
               20              100            30.72
               21              100             0.00
               22              100             0.00
               23              100             0.00
               24              100            14.84
               25              100            34.56
               26              100            23.68
               27              100             0.00
               28              100             0.00
               29              100             0.00
               30              100            41.25
                1               50            27.68
                2               50             0.00
                3               50            17.18
                4               50             0.00
                5               50             0.65
                6               50            15.14
                7               50             0.00
                8               50             0.00
                9               50             0.25
               10               50             4.76
               11               50             0.00
               12               50             0.00
               13               50             2.66
               14               50             0.00
               15               50             0.00
               16               50            27.58
               17               50             2.12
               18               50             0.00
               19               50             0.25
               20               50            15.18
               21               50             0.00
               22               50             0.00
               23               50             0.00
               24               50             0.00
               25               50             5.00
               26               50             8.43
               27               50             0.00
               28               50             0.00
               29               50             0.00
               30               50            13.38
                1               30            21.44
                2               30             0.00
                3               30             9.24
                4               30             0.00
                5               30             0.00
                6               30            15.14
                7               30             0.00
                8               30             0.00
                9               30             0.00
               10               30             2.68
               11               30             0.00
               12               30             0.00
               13               30             0.89
               14               30             0.00
               15               30             0.00
               16               30            17.59
               17               30             0.00
               18               30             0.00
               19               30             0.09
               20               30            15.18
               21               30             0.00
               22               30             0.00
               23               30             0.00
               24               30             0.00
               25               30             1.67
               26               30             8.43
               27               30             0.00
               28               30             0.00
               29               30             0.00
               30               30             0.30
