!   RPF - riparian and miscella. ET fraction
!   RUFO - reuse fraction for all other crops
!   RUFW - reuse fraction for wetlands. -1 indicates nodata, -2 indicates a time series is used
!
!   RUFR{id} - timeseries ID of reuse fraction for rice
!						
!	AW   = AWo +AWr +AWw					
!	RUaw = AWo * RUFo +  AWr * RUFr + AWw*RUFw
!       RU   = Min(TW, RUaw)
!	GP   > GPmin * (1+ RPF)* AW -GPmin* RUaw	
!       Div  = [AW*(1+ RPF) -RU -GP]/[1-(EVF+DPF+LFF+OSF)] 
Rpf_RufO_RufW									
DU	RPF	RUFO	RUFRid	RUFW					
1	0.05	0.05	5	-1	!	02_NA	0	RUFR5	0.05
2	0	0	5	-1	!	02_SA	0	RUFR5	0.05
3	0	0.1	5	-1	!	02_PA	0	RUFR5	0.1
4	0	0.05	5	-1	!	03_NA	0	RUFR5	0.05
5	0	0	5	-1	!	03_PA	0	RUFR5	0.1
6	0.05	0	5	-1	!	03_SA	0	RUFR5	0.05
7	0	0.1	5	-1	!	04_NA	0	RUFR5	0
8	0.05	0.05	5	-1	!	04_PA1	0	RUFR5	0.05
9	0	0.1	5	-1	!	04_PA2	0	RUFR5	0
10	0	0	5	0.15	!	05_NA	0.15	RUFR5	0.05
11	0.05	0.1	5	-1	!	06_NA	0	RUFR5	0.05
12	0.05	0	5	-1	!	06_PA	0	RUFR5	0.05
13	0.05	0.05	5	-1	!	07N_NA	0	RUFR5	0.05
14	0.05	0	5	-1	!	07N_PA	0	RUFR5	0.05
15	0.05	0.05	5	-1	!	07S_NA	0	RUFR5	0.05
16	0	0.1	5	-1	!	07S_PA	0	RUFR5	0
17	0.05	0	5	0.01	!	08N_PA	0.05	RUFR5	0.05
18	0	0.05	5	-2	!	08N_PR1	RUFW1_TS	RUFR5	0
19	0	0.1	5	0.15	!	08N_PR2	0.14	RUFR5	0
20	0	0	5	0.05	!	08N_SA1	0.05	RUFR5	0.05
21	0	0	4	0.15	!	08N_SA2	0.15	RUFR4	0.05
22	0	0.05	5	-1	!	08N_NA	0	RUFR5	0.05
23	0	0.1	5	0.15	!	08S_SA1	0.15	RUFR5	0
24	0	0	4	0.15	!	08S_SA2	0.15	RUFR4	0
25	0	0.1	5	-1	!	08S_SA3	0	RUFR5	0
26	0.05	0	5	0.01	!	08S_PR	0.15	RUFR5	0.05
27	0.05	0	5	0.15	!	08S_PA	0.15	RUFR5	0.05
28	0.05	0.05	5	-1	!	08S_NA1	0	RUFR5	0.05
29	0.05	0	5	-1	!	08S_NA2	0	RUFR5	0.05
30	0	0.1	5	0.15	!	09_NA	0.15	RUFR5	0
31	0.05	0	5	-1	!	09_SA1	0	RUFR5	0.05
32	0	0.1	5	0.15	!	09_SA2	0.15	RUFR5	0
33	0.05	0.1	5	0.0	!	09_PR	0.15	RUFR5	0
34	0.05	0	5	0.15	!	10_NA	0.15	RUFR5	0.05
35	0.05	0	5	0.15	!	11_NA	0.15	RUFR5	0.05
