!Agricultural Reuse by demand unit for rice lands
!Currently single reuse factor for all demand units
!Month 1 = October
AgReuse
DU   Month     TWAW	Fraction
1    1    	0.25	0.50 !Joint Board
1    2    	0.48	0.00
1    3    	0.75	0.00
1    4    	0.76	0.00
1    5    	0.00	0.00
1    6    	0.00	0.00
1    7    	0.00	0.00
1    8    	0.34	0.10
1    9    	0.19	0.10
1    10   	0.24	0.50
1    11   	0.32	0.10
1    12   	2.12	0.00
2    1    	0.25	0.90 !Western Canal WD
2    2    	0.48	0.40
2    3    	0.75	0.40
2    4    	0.76	0.00
2    5    	0.00	0.00
2    6    	0.00	0.00
2    7    	0.00	0.00
2    8    	0.34	0.40
2    9    	0.19	0.90
2    10   	0.24	0.90
2    11   	0.32	0.70
2    12   	2.12	0.30
3    1    	0.25	0.60 !YCWA Service Area
3    2    	0.48	0.00
3    3    	0.75	0.00
3    4    	0.76	0.00
3    5    	0.00	0.00
3    6    	0.00	0.00
3    7    	0.00	0.00
3    8    	0.34	0.40
3    9    	0.19	0.80
3    10   	0.24	0.90
3    11   	0.32	0.60
3    12   	2.12	0.20
4    1    	0.25	0.90 !GCID
4    2    	0.48	0.50
4    3    	0.75	0.50
4    4    	0.76	0.00
4    5    	0.00	0.00
4    6    	0.00	0.00
4    7    	0.00	0.00
4    8    	0.34	0.50
4    9    	0.19	0.90
4    10   	0.24	0.90
4    11   	0.32	0.90
4    12   	2.12	0.40
5    1    	0.25	0.90 !Others
5    2    	0.48	0.50
5    3    	0.75	0.50
5    4    	0.76	0.00
5    5    	0.00	0.00
5    6    	0.00	0.00
5    7    	0.00	0.00
5    8    	0.34	0.50
5    9    	0.19	0.90
5    10   	0.24	0.90
5    11   	0.32	0.90
5    12   	2.12	0.40


























































































































































































































