! Adjusted to ensure sum of fractions in a WBA is one by Z.Q. Richard Chen 20130613.		
! Surface runoff fractions for each WBA		
WatershedAreaPpt		
watershed	fraction	
1	0.4191	!SR_02_CWD003
2	0.1591	!SR_02_KSWCK
3	0.0485	!SR_02_SAC257
4	0.3733	!SR_02_SAC271
5	0.1306	!SR_03_COW003
6	0.0350	!SR_03_KSWCK
7	0.3605	!SR_03_SAC265
8	0.4739	!SR_03_SAC277
9	0.2204	!SR_04_SAC207
10	0.7796	!SR_04_SAC217
11	0.4798	!SR_05_SAC196
12	0.0884	!SR_05_SAC201
13	0.4318	!SR_05_SAC217
14	0.2522	!SR_06_CBD049
15	0.7478	!SR_06_SAC185
16	0.9050	!SR_07N_CBD049
17	0.0950	!SR_07N_SAC185
18	0.5974	!SR_07S_CBD028
19	0.3732	!SR_07S_CBD038
20	0.0294	!SR_07S_YBP034
21	0.8692	!SR_08N_CBD049
22	0.1116	!SR_08N_SAC185
23	0.2759	!SR_08S_CBD028
24	0.3296	!SR_08S_CBD038
25	0.3897	!SR_08S_RFS8S
26	0.0048	!SR_08S_SAC146
27	0.7663	!SR_09_BSL001
28	0.0846	!SR_09_BTC017
29	0.0747	!SR_09_SAC141
30	0.0744	!SR_09_SAC185
31	0.5514	!SR_10_BSL001
32	0.3478	!SR_10_BTC017
33	0.1008	!SR_10_SAC196
34	0.3979	!SR_11_BSL001
35	0.1698	!SR_11_BTC017
36	0.3031	!SR_11_DWRPS1
37	0.1292	!SR_11_FTR059
38	1.0000	!SR_12_HON004
39	1.0000	!SR_13_RFS13
40	0.2389	!SR_14_HON004
41	0.1291	!SR_14_JCK002
42	0.6320	!SR_14_YUB011
43	0.4683	!SR_15N_FTR029
44	0.4261	!SR_15N_JCK002
45	0.8760	!SR_15S_FTR012
46	1.0000	!SR_16_DWRPS1
47	1.0000	!SR_17N_BSL001
48	1.0000	!SR_17S_SSL001
49	1.0000	!SR_18_RFS18
50	1.0000	!SR_19_RD1500
51	0.1311	!SR_20_CCH017
52	0.2492	!SR_20_CCH032
53	0.0566	!SR_20_PTH021
54	0.0295	!SR_20_PTH024
55	0.5336	!SR_20_YBP023
56	1.0000	!SR_21_YBP023
57	0.7229	!SR_22_SAC066
58	0.3419	!SR_23_ABN000
59	0.2188	!SR_23_BRR004
60	0.2327	!SR_23_CRC002
61	0.1585	!SR_23_CCK007
62	0.0717	!SR_24_ABN000
63	0.2070	!SR_24_ABN010
64	0.0592	!SR_24_BRR004
65	0.3217	!SR_24_CCK022
66	0.1208	!SR_24_CRC002
67	0.1756	!SR_24_EMD007
68	0.0320	!SR_24_CCK007
69	0.8879	!SR_25_CSL005
70	0.0177	!SR_25_PTH021
71	0.0944	!SR_25_PTH024
72	0.1389	!SR_26N_AMR004
73	0.1026	!SR_26N_CRC002
74	0.3752	!SR_26N_EMD001
75	0.3393	!SR_26N_EMD007
76	0.0440	!SR_26N_NTOMA
77	0.1425	!SR_26S_AMR007
78	0.1380	!SR_26S_MOK014
79	0.1515	!SR_26S_NTOMA
80	0.5680	!SR_26S_SAC048
81	0.2771	!SR_22_CRC002
82	0.0192	!SR_08N_SAC154
83	0.1056	!SR_15N_HON004
84	0.0481	!SR_23_BRR011
85	0.0120	!SR_24_BRR011
86	0.1240	!SR_15S_BRR004
87	1.0000	!SR_71_OMR039
