! Snowmelt Water Year Type Classification - D1485 only
! 1=Above normal, 2=Sub-normal
wytypeSnow
wateryear  index
1921			  1
1922			  1
1923			  1
1924			  1
1925			  1
1926			  1
1927			  1
1928			  2
1929			  1
1930			  1
1931			  1
1932			  1
1933			  1
1934			  1
1935			  1
1936			  1
1937			  1
1938			  1
1939			  1
1940			  1
1941			  1
1942			  1
1943			  1
1944			  1
1945			  1
1946			  1
1947			  1
1948			  1
1949			  1
1950			  1
1951			  2
1952			  1
1953			  1
1954			  1
1955			  1
1956			  1
1957			  1
1958			  1
1959			  1
1960			  2
1961			  1
1962			  1
1963			  1
1964			  1
1965			  1
1966			  2
1967			  1
1968			  2
1969			  1
1970			  2
1971			  1
1972			  2
1973			  1
1974			  1
1975			  1
1976			  1
1977			  1
1978			  1
1979			  1
1980			  1
1981			  1
1982			  1
1983			  1
1984			  2
1985			  1
1986			  2
1987			  1
1988			  1
1989			  1
1990			  1
1991			  1
1992			  1
1993			  1
1994			  1
1995			  1
1996			  1
1997			  2
1998			  1
1999			  1
2000			  1
2001			  1
2002			  1
2003			  1
