! These values tailored to address BDCP related Temperature Control Objectives
SAC_TemperatureControl
month   trigger    flow
1              0       0
1           9999       0
2              0       0
2           9999       0
3              0       0
3           9999       0
4              0       0
4           9999       0
5              0       0
5           9999       0
6              0       0
6           9999       0
7              0    3250
7           2000    3250
7           2500    3250
7           3250    3250
7           3750    3250
7           4500    3250
7           9999    3250
8              0    3250
8           2000    3250
8           2500    3250
8           3250    3250
8           3750    3250
8           4500    3250
8           9999    3250
9              0    3250
9           2000    3250
9           2500    3250
9           3250    3250
9           3750    3250
9           4500    3250
9           9999    3250
10             0    3250
10          2000    3250
10          2500    3250
10          3250    3250
10          3750    3250
10          4500    3250
10          9999    3250
11             0    3250
11          2000    3250
11          2500    3250
11          3250    3250
11          3750    3250
11          4500    3250
11          9999    3250
12             0    3250
12          2000    3250
12          2500    5500
12          3250    7000
12          3750    7750
12          4500    8000
12          9999    8000
