!Sac Valley Historical 40-30-30 Indices
!Extended 6/24/05 from 1994 to 2003 by C.Quan-DWR.
SacValleyIndex
WaterYear  OctMar  AprJul  WYsum   Index
1906	   12.57   12.92   26.71   11.76
1907	   18.96   13.45   33.70   14.07
1908	    8.29    5.60   14.77    7.73
1909	   20.61    8.98   30.68   12.10
1910	   13.12    6.11   20.12    9.38
1911	   12.27   13.12   26.38   11.74
1912	    4.84    5.65   11.41    6.71
1913	    5.72    6.29   12.85    6.24
1914	   16.72   10.08   27.81   10.92
1915	   11.41   11.42   23.86   10.99
1916	   14.25    8.89   24.14   10.83
1917	    7.25    9.14   17.26    8.83
1918	    5.27    4.89   10.99    6.19
1919	    8.12    6.77   15.66    7.00
1920	    3.63    4.91    9.20    5.15
1921	   15.47    7.52   23.80    9.20
1922	    6.63   10.57   17.98    8.97
1923	    6.21    6.27   13.21    7.06
1924	    3.27    1.94    5.74    3.87
1925	    8.76    6.51   15.99    6.39
1926	    6.37    4.79   11.76    5.75
1927	   14.34    8.75   23.83    9.52
1928	   10.24    5.86   16.76    8.27
1929	    4.00    3.84    8.40    5.22
1930	    8.24    4.65   13.52    5.90
1931	    3.52    2.09    6.10    3.66
1932	    6.28    6.24   13.12    5.48
1933	    3.73    4.66    8.94    4.63
1934	    5.68    2.45    8.63    4.07
1935	    6.27    9.69   16.59    6.98
1936	   10.32    6.41   17.35    7.75
1937	    5.50    7.24   13.33    6.87
1938	   17.96   12.93   31.83   12.62
1939	    4.56    3.04    8.18    5.58
1940	   14.78    6.93   22.43    8.88
1941	   16.32    9.77   27.08   11.47
1942	   14.33    9.93   25.24   11.27
1943	   13.37    6.90   21.13    9.77
1944	    4.81    4.93   10.43    6.35
1945	    8.42    5.92   15.06    6.80
1946	   10.89    5.97   17.62    7.70
1947	    5.90    3.83   10.39    5.61
1948	    5.39    9.55   15.75    7.12
1949	    5.73    5.59   11.97    6.09
1950	    7.01    6.72   14.44    6.62
1951	   16.77    5.42   22.95    9.18
1952	   13.86   13.68   28.60   12.38
1953	   10.84    8.26   20.09    9.55
1954	    9.74    6.81   17.43    8.51
1955	    5.19    5.07   10.98    6.14
1956	   20.32    8.60   29.89   11.38
1957	    7.72    6.29   14.89    7.83
1958	   16.37   12.24   29.71   12.16
1959	    7.40    3.84   12.05    6.75
1960	    7.72    4.65   13.06    6.20
1961	    6.87    4.39   11.97    5.68
1962	    8.17    6.23   15.11    6.65
1963	   12.01   10.09   22.99    9.63
1964	    5.90    4.37   10.92    6.41
1965	   16.59    8.13   25.64   10.15
1966	    7.42    4.84   12.95    7.16
1967	   12.14   11.01   24.06   10.20
1968	    8.66    4.12   13.64    7.24
1969	   15.33   10.68   26.98   11.05
1970	   18.87    4.35   24.06   10.40
1971	   12.71    8.90   22.57   10.37
1972	    7.61    5.02   13.43    7.29
1973	   12.80    6.38   20.05    8.58
1974	   21.69    9.78   32.50   12.99
1975	    9.24    8.95   19.23    9.35
1976	    4.63    2.75    8.20    5.29
1977	    2.49    1.93    5.12    3.11
1978	   14.90    8.12   23.92    8.65
1979	    6.06    5.64   12.41    6.67
1980	   15.49    6.00   22.33    9.04
1981	    6.81    3.63   11.10    6.21
1982	   20.56   11.82   33.41   12.76
1983	   22.75   13.66   37.68   15.29
1984	   15.98    5.52   22.35   10.00
1985	    6.24    4.00   11.04    6.47
1986	   19.45    5.45   25.83    9.96
1987	    5.85    2.80    9.27    5.86
1988	    5.78    2.90    9.23    4.65
1989	    9.01    5.07   14.79    6.12
1990	    4.94    3.73    9.27    4.81
1991	    3.89    4.01    8.44    4.21
1992	    5.41    2.93    8.87    4.06
1993	   12.44    8.98   22.21    8.54
1994	    4.55    2.73    7.80    5.02
1995	   19.83   13.60   34.55   12.89
1996	   13.05    8.37   22.29   10.26
1997	   20.22    4.39   25.42   10.82
1998	   17.65   12.54   31.40   13.31
1999	   12.97    7.26   21.19    9.80
2000	   12.06    5.96   18.90    8.94
2001	    5.64    3.46    9.81    5.76
2002	    9.32    4.57   14.60    6.35
2003	   10.71    7.66   19.18    8.18
