!according to USBR STANMOD spreadsheet
!and New Melones Interim Operation Plan
!Joint Model
stan_yr_90
NMF     stanf   SEWD    CSJSEWD    NMWQcap  VernMinCap
0       00      0       0          0        0
1400    98      0       0          70       0
2000    125     0       0          80       0
2500    345     10      49         175      1000
3000    467     10      80         250      1000
6000    467     10      80         250      1000
7000    467     10      80         250      1000
8000    467     10      80         250      1000
9000    467     10      80         250      1000
10000   467     10      80         250      1000
