!Time-series of when EBMUD can take CVP water under their contract, i.e. total system storage (TSS) is forecast to be < 500 TAF
!From spreadsheet provided by G. Hall 5/8/2012.
EBMUD_CVP
Contractyear	Indicator
1921	0
1922	0
1923	0
1924	1
1925	0
1926	1
1927	0
1928	0
1929	1
1930	1
1931	1
1932	0
1933	1
1934	1
1935	0
1936	0
1937	0
1938	0
1939	1
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	1
1948	0
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	0
1957	0
1958	0
1959	1
1960	1
1961	1
1962	1
1963	0
1964	1
1965	0
1966	0
1967	0
1968	1
1969	0
1970	0
1971	0
1972	0
1973	0
1974	0
1975	0
1976	1
1977	1
1978	0
1979	0
1980	0
1981	1
1982	0
1983	0
1984	0
1985	0
1986	0
1987	1
1988	1
1989	1
1990	1
1991	1
1992	1
1993	0
1994	1
1995	0
1996	0
1997	0
1998	0
1999	0
2000	0
2001	1
2002	0
2003	0

