Merced_FERC     
yrtype  month   FERC_min
1       1       50
1       2       100
1       3       100
1       4       75
1       5       75
1       6       75
1       7       75
1       8       75
1       9       25
1       10      25
1       11      25
1       12      25
2       1       38
2       2       75
2       3       75
2       4       60
2       5       60
2       6       60
2       7       60
2       8       60
2       9       15
2       10      15
2       11      15
2       12      15
