!50% exceedence forecasts (remaining inflow for the water year)
!
!        Jun-1 Forecast
Shasta_Inflow_Jun1Forecast
Year   JunSep  JulSep  AugSep    Sep
1922    1008     666     424     210
1923     813     537     342     169
1924     616     407     259     128
1925     948     626     399     197
1926     767     507     322     159
1927    1082     715     455     225
1928     917     606     386     191
1929     770     509     324     160
1930     825     545     347     172
1931     633     418     266     132
1932     888     587     373     185
1933     849     561     357     177
1934     733     484     308     152
1935    1014     670     426     211
1936     863     570     363     179
1937     953     630     401     198
1938    1364     901     573     284
1939     742     490     312     154
1940    1005     664     423     209
1941    1248     825     525     260
1942    1170     773     492     243
1943     999     660     420     208
1944     812     537     342     169
1945     960     635     404     200
1946     990     654     416     206
1947     763     504     321     159
1948    1117     738     470     232
1949     913     604     384     190
1950     879     581     370     183
1951    1033     683     435     215
1952    1239     819     521     258
1953    1109     733     466     231
1954    1021     675     429     212
1955     927     613     390     193
1956    1234     815     519     257
1957    1081     715     455     225
1958    1287     850     541     268
1959     893     590     375     186
1960     929     614     391     193
1961     959     634     403     199
1962     940     621     395     195
1963    1178     779     496     245
1964     789     522     332     164
1965    1044     690     439     217
1966     923     610     388     192
1967    1258     831     529     262
1968     878     580     369     183
1969    1228     811     516     255
1970    1000     661     421     208
1971    1167     771     491     243
1972     911     602     383     189
1973    1010     668     425     210
1974    1257     831     529     261
1975    1161     767     488     241
1976     775     512     326     161
1977     670     443     282     139
1978    1116     737     469     232
1979     929     614     391     193
1980     988     653     415     205
1981     819     541     344     170
1982    1212     801     510     252
1983    1412     933     594     294
1984    1035     684     435     215
1985     767     507     323     160
1986    1048     693     441     218
1987     786     520     331     164
1988     834     551     351     173
1989     862     570     363     179
1990     886     585     373     184
1991     778     514     327     162
1992     765     505     322     159
1993    1116     738     469     232
1994     740     489     311     154
1995    1406     929     591     292
1996    1192     788     501     248
1997     966     639     406     201
1998    1430     945     601     297
1999    1115     737     469     232
2000    1038     686     436     216
2001     847     560     356     176
2002     894     591     376     186
2003    1177     778     495     245

