EC_WestSideReturnRF						
Month	VernalisRF	MazeRF		PattersonRF	MudSloughRF	SaltSloughRF	MendotaPoolRF
1	1400.4		1400.4		1400.4		1760.9		1760.9		1760.9
2	1308.6		1308.6		1308.6		1961.9		1961.9		1961.9
3	1672.4		1672.4		1672.4		1851.3		1851.3		1851.3
4	1565.8		1565.8		1565.8		1960.4		1960.4		1960.4
5	1862.8		1862.8		1862.8		2501.8		2501.8		2501.8
6	1753.5		1753.5		1753.5		4497.3		4497.3		4497.3
7	1752.0		1752.0		1752.0		3928.4		3928.4		3928.4
8	1582.2		1582.2		1582.2		1750.0		1750.0		1750.0
9	1498.9		1498.9		1498.9		1750.0		1750.0		1750.0
10	1578.8		1578.8		1578.8		2100.0		2100.0		2100.0
11	1642.8		1642.8		1642.8		2318.8		2318.8		2318.8
12	1636.8		1636.8		1636.8		1840.1		1840.1		1840.1
