! placeholders for monthly EC conditions of inflows at:
!
! BANOS  - Banos Creek
! QNT005 - Quinto Creek
! GRZ012 - Garzas Creek
! ORT009 - Orestimba Creek
! DPC008 - Del Puerto Creek
! ISLUIS - San Luis Inflow
! ING008 - Ingram Creek
EC_WestsideI
Month	BANOS	QNT005	GRZ012	ORT009	DPC008 	ISLUIS	ING008		
1	150.0	150.0	150.0	150.0	150.0	150.0	150.0		
2	150.0	150.0	150.0	150.0	150.0	150.0	150.0	 	
3	150.0	150.0	150.0	150.0	150.0	150.0	150.0	 	
4	150.0	150.0	150.0	150.0	150.0	150.0	150.0	 	
5	150.0	150.0	150.0	150.0	150.0	150.0	150.0	 	
6	150.0	150.0	150.0	150.0	150.0	150.0	150.0	 	
7	150.0	150.0	150.0	150.0	150.0	150.0	150.0		
8	150.0	150.0	150.0	150.0	150.0	150.0	150.0		
9	150.0	150.0	150.0	150.0	150.0	150.0	150.0		
10	150.0	150.0	150.0	150.0	150.0	150.0	150.0		
11	150.0	150.0	150.0	150.0	150.0	150.0	150.0		
12	150.0	150.0	150.0	150.0	150.0	150.0	150.0	 	

