! Clear Creek minimum flow as stated in the CVP OCAP Table II-4 Page 24.
! wytype refers to the Shasta Index and flow values are in units of CFS.
clear_ck_min
month           wytype          flow                                            
1               1               50
2               1               100
3               1               100
4               1               50
5               1               50
6               1               50
7               1               50
8               1               50
9               1               50
10              1               50
11              1               50
12              1               50
1               2               50
2               2               100
3               2               100
4               2               50
5               2               50
6               2               50
7               2               50
8               2               50
9               2               50
10              2               50
11              2               50
12              2               50
1               3               50
2               3               100
3               3               100
4               3               50
5               3               50
6               3               50
7               3               50
8               3               50
9               3               50
10              3               50
11              3               50
12              3               50
1               4               30
2               4               70
3               4               70
4               4               30
5               4               30
6               4               30
7               4               30
8               4               30
9               4               30
10              4               30
11              4               30
12              4               30











