! source spreadsheet: FIXED_BST_SWP_SOD_2011DRR_090911_Exist.xls      
swp_3_tablea        
contractor     percent   TableA
1    100  23.08
2    100  27.54
3    100  38.00
4    100  70.70
5    100  12.70
6    100  52.50
7    100  4.80
8    100  69.18
9    100  27.50
10   100  4.63
11   100  3.16
12   100  27.88
13   100  47.84
14   100  0.60
15   100  134.60
16   100  581.42
17   100  86.83
18   100  55.37
19   100  70.62
20   100  2.30
21   100  280.07
22   100  0.00
23   100  569.35
24   100  725.95
25   100  136.13
26   100  17.00
27   100  19.73
28   100  5.00
29   100  16.80
30   100  92.60
31   100  28.80
32   100  9.60
33   100  25.00
34   100  21.96
35   100  72.50
36   100  23.76
37   100  28.46
38   100  3.15
39   100  16.85
1    50   36.42
2    50   37.20
3    50   42.00
4    50   133.15
5    50   12.70
6    50   72.50
7    50   7.20
8    50   138.35
9    50   27.50
10   50   8.63
11   50   5.80
12   50   55.75
13   50   50.34
14   50   1.60
15   50   134.60
16   50   574.57
17   50   79.99
18   50   103.11
19   50   81.54
20   50   2.30
21   50   165.11
22   50   0.00
23   50   569.03
24   50   890.10
25   50   209.76
26   50   58.40
27   50   23.04
28   50   5.70
29   50   21.20
30   50   92.60
31   50   28.80
32   50   16.45
33   50   25.00
34   50   45.49
35   50   88.60
36   50   33.15
37   50   72.91
38   50   3.15
39   50   16.85
1    30   35.73
2    30   42.89
3    30   42.00
4    30   141.40
5    30   12.70
6    30   82.50
7    30   9.60
8    30   138.35
9    30   27.50
10   30   9.28
11   30   5.80
12   30   55.75
13   30   50.34
14   30   2.00
15   30   134.60
16   30   563.55
17   30   65.96
18   30   132.94
19   30   81.97
20   30   2.30
21   30   59.74
22   30   0.00
23   30   281.97
24   30   1332.37
25   30   201.37
26   30   75.00
27   30   25.90
28   30   5.70
29   30   21.20
30   30   97.60
31   30   28.80
32   30   16.80
33   30   25.00
34   30   45.49
35   30   90.00
36   30   41.53
37   30   88.92
38   30   3.15
39   30   16.85
