!  Monthly loss coefficients and max loss flow
loss_per
month   slope1    Qmaxloss1   slope2    Qmaxloss2
1       0.7705    122	      0.2222    81
2       1.0000    28 	      0.2857    14 
3       0.9082    98 	      0.2615    65 
4       0.9016    122 	      0.2951    122 
5       0.0806    1080 	      0.0302    1621
6       0.1615    260 	      0.0588    391 
7       0.5595    252 	      0.1607    168 
8       0.6404    228 	      0.2405    341 
9       0.9167    168	      0.2173    336
10      1.0000    225 	      0.3498    263 
11      0.9016    244 	      0.2992    244 
12      0.9226    168 	      0.3452    168 
