!A. Fock 2005/09/21 
!EC in mS/cm, water quality assumption for flow upstream of SJR Lander Ave. 
EC_US_Lander
Month	EC_C603	EC_C588	EC_C582	EC_I589	EC_I607	EC_I611	EC_R587a EC_R587b
1	100	100	100	100	100	100	100	100
2	100	100	100	100	100	100	100	100
3	100	100	100	100	100	100	100	100
4	100	100	100	100	100	100	100	100
5	100	100	100	100	100	100	100	100
6	100	100	100	100	100	100	100	100
7	100	100	100	100	100	100	100	100
8	100	100	100	100	100	100	100	100
9	100	100	100	100	100	100	100	100
10	100	100	100	100	100	100	100	100
11	100	100	100	100	100	100	100	100
12	100	100	100	100	100	100	100	100
