!Modified on 2005/09/20.  Data source from Dan Steiner 2005 August Analysis. 
!Numbers are EC in mS/cm for water quality of the Delta-Mendota Canal water into Mendota Pool
EC_Table_MPool
wyt_SAC_cvp  month   EC_Mendota_Pool
1	1	398
2	1	491
3	1	537
4	1	599
5	1	690
1	2	500
2	2	552
3	2	540
4	2	572
5	2	742
1	3	532
2	3	623
3	3	630
4	3	630
5	3	924
1	4	540
2	4	550
3	4	556
4	4	678
5	4	732
1	5	550
2	5	550
3	5	551
4	5	615
5	5	760
1	6	550
2	6	542
3	6	544
4	6	620
5	6	814
1	7	460
2	7	463
3	7	469
4	7	553
5	7	889
1	8	470
2	8	471
3	8	468
4	8	480
5	8	882
1	9	407
2	9	450
3	9	438
4	9	440
5	9	766
1	10	334
2	10	355
3	10	365
4	10	349
5	10	785
1	11	364
2	11	373
3	11	379
4	11	485
5	11	693
1	12	391
2	12	391
3	12	475
4	12	610
5	12	699

		
