ANNlimit                   
month     wyt_SAC   Qsaclimit     
1         1         15000.
2         1         15000.
3         1         15000.
4         1         15000.
5         1         15000.
6         1         15000.
7         1         15000.
8         1         15000.
9         1         15000.
10        1         15000.
11        1         15000.
12        1         15000.
1         2         15000.
2         2         15000.
3         2         15000.
4         2         15000.
5         2         15000.
6         2         15000.
7         2         15000.
8         2         15000.
9         2         15000.
10        2         15000.
11        2         15000.
12        2         15000.
1         3         15000.
2         3         15000.
3         3         15000.
4         3         15000.
5         3         15000.
6         3         15000.
7         3         15000.
8         3         15000.
9         3         15000.
10        3         15000.
11        3         15000.
12        3         15000.
1         4         12000.
2         4         12000.
3         4         12000.
4         4         12000.
5         4         12000.
6         4         12000.
7         4         12000.
8         4         12000.
9         4         12000.
10        4         12000.
11        4         12000.
12        4         12000.
1         5         12000.
2         5         12000.
3         5         12000.
4         5         12000.
5         5         12000.
6         5         12000.
7         5         12000.
8         5         12000.
9         5         12000.
10        5         12000.
11        5         12000.
12        5         12000.
