!=============================================
!GUI lookup table for setting the user defined 
!
!Z.Q. Richard Chen 10/29/2010
!Export-Inflow Ratio of San Joaquin River
!      Max South Delta Exports 
!      <= 
!      "offset" + "multiplier" * SJR Inflow at Vernalis
! wyt -- The Sacramento valley 40-30-30 Index for water year types (wyt_SAC)
!=====================================
gui_eisjr			
month  wyT_Sac 	offset	multiplier
1	1	0.0	99.0
2	1	0.0	99.0
3	1	5000.0	5.0
4	1	5000.0	5.0
5	1	5000.0	5.0
6	1	5000.0	5.0
7	1	5000.0	5.0
8	1	5000.0	5.0
9	1	5000.0	5.0
10	1	0.0	99.0
11	1	0.0	99.0
12	1	0.0	99.0
1	2	0.0	99.0
2	2	0.0	99.0
3	2	5000.0	5.0
4	2	5000.0	5.0
5	2	5000.0	5.0
6	2	5000.0	5.0
7	2	5000.0	5.0
8	2	5000.0	5.0
9	2	5000.0	5.0
10	2	0.0	99.0
11	2	0.0	99.0
12	2	0.0	99.0
1	3	0.0	99.0
2	3	0.0	99.0
3	3	5000.0	5.0
4	3	5000.0	5.0
5	3	5000.0	5.0
6	3	5000.0	5.0
7	3	5000.0	5.0
8	3	5000.0	5.0
9	3	5000.0	5.0
10	3	0.0	99.0
11	3	0.0	99.0
12	3	0.0	99.0
1	4	0.0	99.0
2	4	0.0	99.0
3	4	5000.0	5.0
4	4	5000.0	5.0
5	4	5000.0	5.0
6	4	5000.0	5.0
7	4	5000.0	5.0
8	4	5000.0	5.0
9	4	5000.0	5.0
10	4	0.0	99.0
11	4	0.0	99.0
12	4	0.0	99.0
1	5	0.0	99.0
2	5	0.0	99.0
3	5	5000.0	5.0
4	5	5000.0	5.0
5	5	5000.0	5.0
6	5	5000.0	5.0
7	5	5000.0	5.0
8	5	5000.0	5.0
9	5	5000.0	5.0
10	5	0.0	99.0
11	5	0.0	99.0
12	5	0.0	99.0
